Title,Authors,Source_Title,Publication_Year,DOI,Notes,country,region,level_of_data_collection,collection_method,confience,location_of_data_extraction,time_for_time_series,SPECIES,growth_type,taxa,Environment,MIN,MAX,AVERAGE,UNITS,SYSTEM notes,system,mean_tonnes_ha_year,fishprint_taxa,cal_100_g,p_100_g
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",chile,south america,,,low,Review in in tro,1995,kappaphycus alvarezii,,algae,sw,84,132,108,t dw/ha/year,bottom culture,on or off bottom,979.7598,,,
"Improvement of water quality by the macroalga, Gracilaria lemaneiformis (Rhodophyta), near aquaculture effluent outlets","Xu, Yongjian; Fang, Jianguang; Tang, Qisheng; Lin, Junda; Le, Guanzong; Liao, Lv",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2008,10.1111/j.1749-7345.2008.00180.x,2 different sites,china,asia (not china),experiment,experiment,high,first paragraph of results,,Gracilaria,monoculture,algae,sw,,,152,tons/ha/65 days,lines in the ocean,on or off bottom,774.32,,,
"Green mussel, Perna viridis, farming in Kerala, India - Technology diffusion process and socioeconomic impacts","Kripa, V.; Mohamed, K. S.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2008,10.1111/j.1749-7345.2008.00191.x,"The average productivity for trestle method was estimated as 564.9 tonnes/ha, while for on-bottom method, it was 171.9 tonnes/ha.However, there were regional differences.Then in table 2, 617, 257, 286 average tonnes/ha across 3 regions.",india,asia (not china),region,survey,mid,table 2,,green mussels,monoculture,mollusc,sw,,,617,tonnes/ha/year,trestle and off the bottom,on or off bottom,617,bivalves,86,11.9
Effects of nitrogen and phosphorus from fish cage-culture on the communities of a shallow lake in middle Yangtze River basin of China,"Guo, LG; Li, ZJ",AQUACULTURE,2003,10.1016/S0044-8486(03)00478-2,"something is funky in this paper. they report 16MT but also 6576 kg? Net-cages in total covered an area of 1000 m2
and the annual fish yield was 16.0 metric tons (MT). 1.7 MT mandarin fish, 2.8 MT channel catfish,and 11.5 MT Chinese freshwater bream. In 230m2 (madarin) 110m2 (catfish) and 460m2 (bream). All of this was done in 8 months. I calculated monthly returns then extrapolated to a year since there wasn't a strong indication that production couldn't be done continuously",china,asia (not china),farm,farm,high,Table 1,,Catfish,polyculture,fish,fw,,,4.37272727,kg/m2/month,nets in a lake,"cages, pens, or nets",524.73,catfish,119,15.2
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",india,asia (not china),,,low,Review in in tro,2019,kappaphycus alvarezii,,algae,sw,,,56.7,t dw/ha/y,raft,on or off bottom,514.373895,,,
Production of Japanese flounder in closed recirculating aquaculture system,"Kikuchi, Kotaro; Iwata, Nakahiro; Takeda, Shigenobu",FISHERIES SCIENCE,2002,10.2331/fishsci.68.sup1_851,259 day growing (phase 1) then an additional 78 days (phase 2: changes in temp?). Culture Phase 1=31kg/m2; Phase 2=23 and 25 kg/m2,japan,asia (not china),experiment,experiment,high,table 1 and text for # of days,,Japanese flounder,monoculture,fish,sw,,,43.6872587,kg/m2/year,RAS,RAS or tanks,436.87,misc_marine,70,12.4
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",south africa,africa,,,low,Review in in tro,2001,kappaphycus alvarezii,,algae,sw,,,47,t ww.a.year,rope,on or off bottom,426.37695,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,37.03703704,mt dw/ha/y,,,370.3703704,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Saccharina japonica,monoculture,algae,sw,,,36.50793651,mt dw/ha/y,,,365.0793651,,,
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",south africa,africa,,,low,Review in in tro,1996,kappaphycus alvarezii,,algae,sw,,,40,t wdw/ha/y,raft,on or off bottom,362.874,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,34.92063492,mt dw/ha/y,,,349.2063492,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,34.92063492,mt dw/ha/y,,,349.2063492,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2000,Saccharina japonica,monoculture,algae,sw,,,34.92063492,mt dw/ha/y,,,349.2063492,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2001,Saccharina japonica,monoculture,algae,sw,,,33.86243386,mt dw/ha/y,,,338.6243386,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Saccharina japonica,monoculture,algae,sw,,,33.86243386,mt dw/ha/y,,,338.6243386,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Saccharina japonica,monoculture,algae,sw,,,33.86243386,mt dw/ha/y,,,338.6243386,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2012,Saccharina japonica,monoculture,algae,sw,,,33.86243386,mt dw/ha/y,,,338.6243386,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2002,Saccharina japonica,monoculture,algae,sw,,,33.33333333,mt dw/ha/y,,,333.3333333,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2003,Saccharina japonica,monoculture,algae,sw,,,33.33333333,mt dw/ha/y,,,333.3333333,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Saccharina japonica,monoculture,algae,sw,,,33.33333333,mt dw/ha/y,,,333.3333333,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Saccharina japonica,monoculture,algae,sw,,,32.27513228,mt dw/ha/y,,,322.7513228,,,
How profitability assessment parameters score under large-scale commercial cultivation of different agarophyte seaweeds along south-eastern coast of India,"Mantri, VA; Dineshkumar, R; Yadav, A; Veeragurunathan, V; Ganesan, M; Eswaran, K; Thiruppathi, S",AQUACULTURE INTERNATIONAL,2022,10.1007/s10499-022-00866-y,"The cultivation of Ge. acerosa has yielded 18 t dry wt ha−1 year−1biomass in three harvests (Ganesan et al., 2009). The same was 35 t dry wt ha−1 year−1 biomass in six harvests in G. edulis (Ganesan et al., 2011a); 11.5 t dry wt ha−1 year−1 biomass in five harvests in G. duraand 56.7 t dry wt ha−1 year−1 biomass in six harvests in G. debilis (Veeragurunathan et al., 2015a, b; Veeragurunathan et al. 2019). However, the yield for other species of Gracilaria under various farming systems has also been reported in the literature, namely 47 t dry wt ha−1 year−1 for G. gracilis from South Africa by suspended rope technique (Wakibia et al., 2001); 18–29 t dry wt ha−1 year−1 for G. tikvahiae from Florida, USA, in pond culture (Hanisak and Ryther, 1986); 84–132 t dry wt ha−1 year−1 for G. chilensis (now Agarophyton chilensis)from Chile in sea bottom culture (Buschmann et al., 1995); and 40 t dry wt ha−1 year−1 for G. gracilis from Saldanha Bay, South Africa, by raft method (Anderson et al. 1996). TABLE 1",india,asia (not china),,,low,Review in in tro,2011,kappaphycus alvarezii,,algae,sw,,,35,t dw/ha/y,raft,on or off bottom,317.51475,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Undaria pinnatifida,monoculture,algae,sw,,,31.74603175,mt dw/ha/y,,,317.4603175,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2005,Undaria pinnatifida,monoculture,algae,sw,,,29.62962963,mt dw/ha/y,,,296.2962963,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2010,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,29.1005291,mt dw/ha/y,,,291.005291,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2006,Undaria pinnatifida,monoculture,algae,sw,,,29.1005291,mt dw/ha/y,,,291.005291,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2013,Undaria pinnatifida,monoculture,algae,sw,,,29.1005291,mt dw/ha/y,,,291.005291,,,
"Green mussel, Perna viridis, farming in Kerala, India - Technology diffusion process and socioeconomic impacts","Kripa, V.; Mohamed, K. S.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2008,10.1111/j.1749-7345.2008.00191.x,"The average productivity for trestle method was estimated as 564.9 tonnes/ha, while for on-bottom method, it was 171.9 tonnes/ha.However, there were regional differences.Then in table 2, 617, 257, 286 average tonnes/ha across 3 regions.",india,asia (not china),region,survey,mid,table 2,,green mussels,monoculture,mollusc,sw,,,286,tonnes/ha/year,trestle and off the bottom,on or off bottom,286,bivalves,86,11.9
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2014,Saccharina japonica,monoculture,algae,sw,,,27.51322751,mt dw/ha/y,,,275.1322751,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Undaria pinnatifida,monoculture,algae,sw,,,27.51322751,mt dw/ha/y,,,275.1322751,,,
Production of Japanese flounder in closed recirculating aquaculture system,"Kikuchi, Kotaro; Iwata, Nakahiro; Takeda, Shigenobu",FISHERIES SCIENCE,2002,10.2331/fishsci.68.sup1_851,259 day growing (phase 1) then an additional 78 days (phase 2: changes in temp?). Culture Phase 1=31kg/m2; Phase 2=23 and 25 kg/m2,japan,asia (not china),experiment,experiment,high,table 1 and text for # of days,,Japanese flounder,monoculture,fish,sw,,,27.0771513,kg/m2/day,RAS,RAS or tanks,270.77,misc_marine,70,12.4
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,26.98412698,mt dw/ha/y,,,269.8412698,,,
"Improvement of water quality by the macroalga, Gracilaria lemaneiformis (Rhodophyta), near aquaculture effluent outlets","Xu, Yongjian; Fang, Jianguang; Tang, Qisheng; Lin, Junda; Le, Guanzong; Liao, Lv",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2008,10.1111/j.1749-7345.2008.00180.x,2 different sites,china,asia (not china),experiment,experiment,high,first paragraph of results,,Gracilaria,monoculture,algae,sw,,,52,tons/ha/65 days,lines in the ocean,on or off bottom,264.9,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2011,Undaria pinnatifida,monoculture,algae,sw,,,26.45502646,mt dw/ha/y,,,264.5502646,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,25.92592593,mt dw/ha/y,,,259.2592593,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Gracilariopsis lemaneiformis,monoculture,algae,sw,,,25.92592593,mt dw/ha/y,,,259.2592593,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2008,Undaria pinnatifida,monoculture,algae,sw,,,25.92592593,mt dw/ha/y,,,259.2592593,,,
"Green mussel, Perna viridis, farming in Kerala, India - Technology diffusion process and socioeconomic impacts","Kripa, V.; Mohamed, K. S.",JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2008,10.1111/j.1749-7345.2008.00191.x,"The average productivity for trestle method was estimated as 564.9 tonnes/ha, while for on-bottom method, it was 171.9 tonnes/ha.However, there were regional differences.Then in table 2, 617, 257, 286 average tonnes/ha across 3 regions.",india,asia (not china),region,survey,mid,table 2,,green mussels,monoculture,mollusc,sw,,,257,tonnes/ha/year,trestle and off the bottom,on or off bottom,257,bivalves,86,11.9
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2007,Undaria pinnatifida,monoculture,algae,sw,,,25.3968254,mt dw/ha/y,,,253.968254,,,
The potential of seaweed cultivation to achieve carbon neutrality and mitigate deoxygenation and eutrophication,"Gao, G; Gao, L; Jiang, MJ; Jian, A; He, LW",ENVIRONMENTAL RESEARCH LETTERS,2022,10.1088/1748-9326/ac3fd9,Digitize 5. LOTS of data,china,asia (china),country,country data,medium,Figure 5,2009,Undaria pinnatifida,monoculture,algae,sw,,,25.3968254,mt dw/ha/y,,,253.968254,,,
